rank	team	score	win	lose	draw	kills	deaths	assists	kda	money
1		EDG		36		11	3		1		609		342		1376	1.78	1932298
2		OMG		32		8	8		0		641		477		1515	1.34	1995948
3		Snake	29		7	8		1		552		493		1419	1.12	2031459
4		LGD		24		6	6		4		607		498		1409	1.22	2018519
5		IG		21		5	6		5		451		499		1166	0.9		1984639
6		VG		21		4	9		3		560		481		1299	1.16	2000589
7		M3		19		4	7		6		552		614		1266	0.9		2009804
8		King	18		4	6		7		518		617		1305	0.84	2065197
9		SHR		16		4	4		8		470		519		1151	0.91	1861475
10		GT		13		1	10		5		502		555		1157	0.9		2067377
11		EP		10		1	7		8		400		580		975		0.69	1753936
12		WE		9		1	6		8		408		556		1027	0.73	1779698
