rank	team	score	win	lose	draw	kills	deaths	assists	kda	money
1		EDG		46		14	4		1		786		444		1828	1.77	2458326
2		Snake	36		9	9		2		679		614		1773	1.11	2534610
3		OMG		35		8	11		1		762		607		1794	1.26	2435902
4		VG		30		7	9		3		668		513		1572	1.3		2366346
5		IG		28		7	7		5		569		571		1443	1		2401150
6		LGD		26		6	8		4		670		564		1593	1.19	2239068
7		King	21		4	9		7		631		734		1563	0.86	2430048
8		M3		19		4	7		8		593		689		1362	0.86	2212369
9		SHR		19		5	4		11		551		654		1351	0.84	2230621
10		WE		16		2	10		8		585		743		1485	0.79	2349479
11		GT		13		1	10		8		577		682		1349	0.85	2406763
12		EP		11		1	8		10		457		681		1129	0.67	2037901
